Analyzing A
A Combo Size 2
20140504-15-11-20	At\0.884413812908	[state","car_age","age_youngest","married_couple","previous]
20140504-15-11-32	At\0.884413812908	[state","car_age","age_youngest","C_previous","previous]
20140504-15-11-43	At\0.884413812908	[state","car_age","married_couple","C_previous","previous]
20140504-15-12-07	At\0.884413812908	[state","age_oldest","age_youngest","married_couple","previous]
20140504-15-12-19	At\0.884413812908	[state","age_oldest","age_youngest","C_previous","previous]
20140504-15-12-30	At\0.884413812908	[state","age_oldest","married_couple","C_previous","previous]
20140504-15-12-41	At\0.884413812908	[state","age_youngest","married_couple","C_previous","previous]
20140504-15-13-26	At\0.884413812908	[group_size","homeowner","car_age","age_oldest","previous]
20140504-15-14-01	At\0.884413812908	[group_size","homeowner","car_age","age_youngest","previous]
20140504-15-14-23	At\0.884413812908	[group_size","homeowner","car_age","married_couple","previous]
20140504-15-14-35	At\0.884413812908	[group_size","homeowner","car_age","C_previous","previous]
20140504-15-15-08	At\0.884413812908	[group_size","homeowner","age_oldest","age_youngest","previous]
20140504-15-15-30	At\0.884413812908	[group_size","homeowner","age_oldest","married_couple","previous]
20140504-15-15-41	At\0.884413812908	[group_size","homeowner","age_oldest","C_previous","previous]
20140504-15-16-03	At\0.884413812908	[group_size","homeowner","age_youngest","married_couple","previous]
20140504-15-16-14	At\0.884413812908	[group_size","homeowner","age_youngest","C_previous","previous]
20140504-15-16-25	At\0.884413812908	[group_size","homeowner","married_couple","C_previous","previous]
20140504-15-16-58	At\0.884413812908	[group_size","car_age","age_oldest","age_youngest","previous]
20140504-15-17-21	At\0.884413812908	[group_size","car_age","age_oldest","married_couple","previous]
20140504-15-17-33	At\0.884413812908	[group_size","car_age","age_oldest","C_previous","previous]
20140504-15-17-55	At\0.884413812908	[group_size","car_age","age_youngest","married_couple","previous]
20140504-15-18-07	At\0.884413812908	[group_size","car_age","age_youngest","C_previous","previous]
20140504-15-18-18	At\0.884413812908	[group_size","car_age","married_couple","C_previous","previous]
20140504-15-18-40	At\0.884413812908	[group_size","age_oldest","age_youngest","married_couple","previous]
20140504-15-18-50	At\0.884413812908	[group_size","age_oldest","age_youngest","C_previous","previous]
20140504-15-19-02	At\0.884413812908	[group_size","age_oldest","married_couple","C_previous","previous]
20140504-15-19-13	At\0.884413812908	[group_size","age_youngest","married_couple","C_previous","previous]
20140504-15-19-46	At\0.884413812908	[homeowner","car_age","age_oldest","age_youngest","previous]
20140504-15-20-09	At\0.884413812908	[homeowner","car_age","age_oldest","married_couple","previous]
20140504-15-20-20	At\0.884413812908	[homeowner","car_age","age_oldest","C_previous","previous]
20140504-15-20-42	At\0.884413812908	[homeowner","car_age","age_youngest","married_couple","previous]
20140504-15-20-54	At\0.884413812908	[homeowner","car_age","age_youngest","C_previous","previous]
20140504-15-21-05	At\0.884413812908	[homeowner","car_age","married_couple","C_previous","previous]
20140504-15-21-27	At\0.884413812908	[homeowner","age_oldest","age_youngest","married_couple","previous]
20140504-15-21-38	At\0.884413812908	[homeowner","age_oldest","age_youngest","C_previous","previous]
20140504-15-21-49	At\0.884413812908	[homeowner","age_oldest","married_couple","C_previous","previous]
20140504-15-22-00	At\0.884413812908	[homeowner","age_youngest","married_couple","C_previous","previous]
20140504-15-22-23	At\0.884413812908	[car_age","age_oldest","age_youngest","married_couple","previous]
20140504-15-22-35	At\0.884413812908	[car_age","age_oldest","age_youngest","C_previous","previous]
20140504-15-22-46	At\0.884413812908	[car_age","age_oldest","married_couple","C_previous","previous]
20140504-15-22-57	At\0.884413812908	[car_age","age_youngest","married_couple","C_previous","previous]
20140504-15-23-08	At\0.884413812908	[age_oldest","age_youngest","married_couple","C_previous","previous]
A Combo Size 6
20140504-15-24-12	At\0.884413812908	[day","state","group_size","homeowner","car_age","previous]
20140504-15-25-01	At\0.884413812908	[day","state","group_size","homeowner","age_oldest","previous]
20140504-15-25-38	At\0.884413812908	[day","state","group_size","homeowner","age_youngest","previous]
20140504-15-26-03	At\0.884413812908	[day","state","group_size","homeowner","married_couple","previous]
20140504-15-26-15	At\0.884413812908	[day","state","group_size","homeowner","C_previous","previous]
20140504-15-27-07	At\0.884413812908	[day","state","group_size","car_age","age_oldest","previous]
20140504-15-27-45	At\0.884413812908	[day","state","group_size","car_age","age_youngest","previous]
20140504-15-28-11	At\0.884413812908	[day","state","group_size","car_age","married_couple","previous]
20140504-15-28-24	At\0.884413812908	[day","state","group_size","car_age","C_previous","previous]
20140504-15-29-01	At\0.884413812908	[day","state","group_size","age_oldest","age_youngest","previous]
20140504-15-29-26	At\0.884413812908	[day","state","group_size","age_oldest","married_couple","previous]
20140504-15-29-39	At\0.884413812908	[day","state","group_size","age_oldest","C_previous","previous]
20140504-15-30-04	At\0.884413812908	[day","state","group_size","age_youngest","married_couple","previous]
20140504-15-30-17	At\0.884413812908	[day","state","group_size","age_youngest","C_previous","previous]
20140504-15-30-29	At\0.884413812908	[day","state","group_size","married_couple","C_previous","previous]
20140504-15-31-20	At\0.884413812908	[day","state","homeowner","car_age","age_oldest","previous]
20140504-15-31-59	At\0.884413812908	[day","state","homeowner","car_age","age_youngest","previous]
20140504-15-32-25	At\0.884413812908	[day","state","homeowner","car_age","married_couple","previous]
20140504-15-32-38	At\0.884413812908	[day","state","homeowner","car_age","C_previous","previous]
20140504-15-33-15	At\0.884413812908	[day","state","homeowner","age_oldest","age_youngest","previous]
20140504-15-33-40	At\0.884413812908	[day","state","homeowner","age_oldest","married_couple","previous]
20140504-15-33-52	At\0.884413812908	[day","state","homeowner","age_oldest","C_previous","previous]
20140504-15-34-17	At\0.884413812908	[day","state","homeowner","age_youngest","married_couple","previous]
20140504-15-34-30	At\0.884413812908	[day","state","homeowner","age_youngest","C_previous","previous]
20140504-15-34-42	At\0.884413812908	[day","state","homeowner","married_couple","C_previous","previous]
20140504-15-35-21	At\0.884413812908	[day","state","car_age","age_oldest","age_youngest","previous]
20140504-15-35-46	At\0.884413812908	[day","state","car_age","age_oldest","married_couple","previous]
